teamsbyyear,games_played,win_percentage,homeruns,rbi,iso,babip,avg,obp,slg,woba,wrc,war
2015TBR,162,0.49,167,612,0.154,0.3,0.252,0.314,0.406,0.313,100,19.6
2015CLE,162,0.5,141,640,0.144,0.299,0.256,0.325,0.401,0.315,97,19.1
2015BOS,162,0.48,161,706,0.149,0.305,0.265,0.325,0.415,0.321,99,17.9
2015WSN,162,0.51,177,665,0.151,0.3,0.251,0.321,0.403,0.315,96,17.9
2015BAL,162,0.5,217,686,0.171,0.291,0.25,0.307,0.421,0.315,97,17.7
2015SEA,162,0.52,198,624,0.162,0.292,0.249,0.311,0.411,0.313,100,17.4
2015DET,162,0.46,151,660,0.15,0.322,0.27,0.328,0.42,0.324,103,17.1
2015LAA,162,0.52,176,621,0.15,0.28,0.246,0.307,0.396,0.305,95,17.1
2015CIN,162,0.4,167,613,0.146,0.29,0.248,0.312,0.394,0.307,91,16.5
2015SDP,162,0.46,148,623,0.142,0.292,0.243,0.3,0.385,0.298,90,16.4
2015MIA,162,0.44,120,575,0.124,0.307,0.26,0.31,0.384,0.302,91,15.3
2015MIL,162,0.42,145,624,0.142,0.303,0.251,0.307,0.393,0.304,87,12.6
2015MIN,162,0.51,156,661,0.152,0.292,0.247,0.305,0.399,0.305,89,12.1
2015OAK,162,0.42,146,661,0.144,0.288,0.251,0.312,0.395,0.308,95,11.3
2015ATL,162,0.41,100,548,0.108,0.297,0.251,0.314,0.359,0.296,84,9.9
2015COL,162,0.42,186,702,0.167,0.313,0.265,0.315,0.432,0.321,87,9.7
2015PHI,162,0.39,130,586,0.133,0.299,0.249,0.303,0.382,0.298,86,8.8
2015CHW,162,0.47,136,595,0.13,0.296,0.25,0.306,0.38,0.3,89,8.8
2014LAD,162,0.58,134,686,0.14,0.318,0.265,0.333,0.406,0.327,112,31.8
2014PIT,162,0.54,156,659,0.145,0.307,0.259,0.33,0.404,0.325,108,31.4
2014LAA,162,0.6,155,729,0.147,0.305,0.259,0.322,0.406,0.321,110,30.4
2014BAL,162,0.59,211,681,0.166,0.296,0.256,0.311,0.422,0.323,104,27.4
2014WSN,162,0.59,152,635,0.14,0.303,0.253,0.321,0.393,0.317,99,26.2
2014SFG,162,0.54,132,636,0.133,0.304,0.255,0.311,0.388,0.308,99,25.4
2014DET,162,0.56,155,731,0.15,0.319,0.277,0.331,0.426,0.331,112,24.8
2014TOR,162,0.51,177,690,0.155,0.295,0.259,0.323,0.414,0.325,107,22.2
2014OAK,162,0.54,146,686,0.137,0.278,0.244,0.32,0.381,0.312,102,21.2
2014MIL,162,0.51,150,617,0.147,0.293,0.25,0.311,0.397,0.313,94,20.8
2014TBR,162,0.48,117,586,0.12,0.287,0.247,0.317,0.367,0.305,97,20.3
2014KCR,162,0.55,95,604,0.113,0.302,0.263,0.314,0.376,0.306,92,18.8
2014NYY,162,0.52,147,591,0.135,0.282,0.245,0.307,0.38,0.305,94,18.1
2014STL,162,0.56,105,585,0.116,0.3,0.253,0.32,0.369,0.308,95,18.1
2014NYM,162,0.49,125,602,0.126,0.286,0.239,0.308,0.364,0.299,92,17.8
2014BOS,162,0.44,123,601,0.124,0.297,0.244,0.316,0.369,0.305,89,17.3
2014COL,162,0.41,186,721,0.169,0.326,0.276,0.327,0.445,0.337,97,17
2014MIA,162,0.48,122,614,0.125,0.316,0.253,0.317,0.378,0.307,95,16.6
2014SEA,162,0.54,136,600,0.132,0.29,0.244,0.3,0.376,0.299,94,16.4
2014MIN,162,0.43,128,675,0.135,0.309,0.254,0.324,0.389,0.316,100,16.2
2014CHC,162,0.45,157,590,0.146,0.296,0.239,0.3,0.385,0.303,91,15.4
2014CIN,162,0.47,131,562,0.127,0.284,0.238,0.296,0.365,0.294,83,14.7
2014CLE,162,0.52,142,644,0.136,0.296,0.253,0.317,0.389,0.313,98,14.1
2014HOU,162,0.43,163,596,0.141,0.298,0.242,0.309,0.383,0.308,98,13.7
2014CHW,162,0.45,155,625,0.146,0.306,0.253,0.31,0.398,0.312,99,13.3
2014ARI,162,0.4,118,573,0.127,0.293,0.248,0.302,0.376,0.3,83,13
2014ATL,162,0.49,123,545,0.119,0.298,0.241,0.305,0.36,0.296,86,12.8
2014SDP,162,0.48,109,500,0.115,0.277,0.226,0.292,0.342,0.283,82,11.7
2014TEX,162,0.41,111,597,0.119,0.305,0.256,0.314,0.375,0.305,90,11.6
2014PHI,162,0.45,125,584,0.121,0.292,0.242,0.302,0.363,0.295,86,11.6
2013BOS,163,0.6,178,819,0.169,0.329,0.277,0.349,0.446,0.347,114,36.2
2013TBR,163,0.56,165,670,0.151,0.295,0.257,0.329,0.408,0.324,107,28.2
2013DET,163,0.57,176,767,0.151,0.32,0.283,0.346,0.434,0.341,114,27.6
2013SFG,163,0.44,107,596,0.121,0.304,0.26,0.32,0.381,0.309,100,26.9
2013STL,163,0.6,125,745,0.133,0.314,0.269,0.332,0.401,0.322,104,26.1
2013BAL,163,0.52,212,719,0.171,0.288,0.26,0.313,0.431,0.323,101,25.7
2013ATL,163,0.59,181,656,0.153,0.3,0.249,0.321,0.402,0.318,102,25.6
2013LAD,163,0.56,138,618,0.133,0.308,0.264,0.326,0.396,0.317,103,25.5
2013OAK,163,0.59,186,725,0.165,0.289,0.254,0.327,0.419,0.327,108,25.4
2013PIT,163,0.58,161,603,0.151,0.294,0.245,0.313,0.396,0.312,99,22.8
2013MIL,163,0.45,157,610,0.145,0.294,0.252,0.311,0.398,0.311,91,22.6
2013CLE,163,0.56,171,711,0.155,0.3,0.255,0.327,0.41,0.324,104,22.6
2013CIN,163,0.55,155,664,0.142,0.293,0.249,0.327,0.391,0.316,96,22.5
2013LAA,163,0.48,164,696,0.15,0.307,0.264,0.329,0.414,0.325,109,21.6
2013TEX,163,0.56,176,691,0.15,0.294,0.262,0.323,0.412,0.323,97,19.7
2013KCR,163,0.53,112,620,0.119,0.3,0.26,0.315,0.379,0.305,89,19.4
2013ARI,163,0.5,130,647,0.133,0.301,0.259,0.323,0.391,0.314,93,19.4
2013SDP,163,0.47,146,578,0.133,0.294,0.245,0.308,0.378,0.302,94,18.6
2013WSN,163,0.53,161,621,0.146,0.292,0.251,0.313,0.398,0.311,94,17.6
2013TOR,163,0.45,185,669,0.158,0.284,0.252,0.318,0.411,0.32,99,17
2013NYM,163,0.45,130,593,0.129,0.291,0.237,0.306,0.366,0.297,90,16.5
2013NYY,163,0.52,144,614,0.133,0.285,0.242,0.307,0.376,0.301,86,14.6
2013CHC,163,0.4,172,576,0.154,0.275,0.238,0.3,0.392,0.304,90,14.1
2013COL,163,0.45,159,673,0.149,0.317,0.27,0.323,0.418,0.324,87,13.7
2013MIN,163,0.4,151,590,0.138,0.298,0.242,0.312,0.38,0.307,91,10.8
2013SEA,163,0.47,188,597,0.152,0.279,0.237,0.306,0.39,0.307,95,10
2013PHI,163,0.45,140,578,0.135,0.293,0.248,0.306,0.384,0.303,89,8.9
2013CHW,163,0.39,148,574,0.129,0.291,0.249,0.302,0.378,0.299,85,5.5
2013MIA,163,0.38,95,485,0.104,0.28,0.231,0.293,0.335,0.279,74,3.3
2013HOU,163,0.31,148,566,0.136,0.304,0.24,0.299,0.375,0.298,85,1.9
2012LAA,162,0.55,187,732,0.159,0.311,0.274,0.332,0.433,0.331,113,33.8
2012NYY,162,0.59,245,774,0.188,0.293,0.265,0.337,0.453,0.342,113,33.6
2012SFG,162,0.46,103,675,0.128,0.315,0.269,0.327,0.397,0.314,101,29
2012STL,162,0.54,159,732,0.15,0.316,0.271,0.338,0.421,0.329,106,28.5
2012MIL,162,0.51,202,741,0.177,0.299,0.259,0.325,0.437,0.329,102,28.3
2012ATL,162,0.58,149,660,0.142,0.296,0.247,0.32,0.389,0.31,92,27.3
2012CIN,162,0.6,172,636,0.159,0.296,0.251,0.315,0.411,0.314,93,23.9
2012TBR,162,0.56,175,665,0.155,0.284,0.24,0.317,0.394,0.311,100,23.7
2012WSN,162,0.6,194,688,0.166,0.308,0.261,0.322,0.428,0.324,101,23.7
2012TEX,162,0.57,200,780,0.173,0.306,0.273,0.334,0.446,0.336,106,23.3
2012ARI,162,0.5,165,710,0.159,0.307,0.259,0.328,0.418,0.323,97,21.7
2012SDP,162,0.47,121,610,0.133,0.297,0.247,0.319,0.38,0.307,97,21.6
2012PHI,162,0.5,158,659,0.144,0.29,0.255,0.317,0.4,0.311,93,21.5
2012CHW,162,0.52,211,726,0.167,0.289,0.255,0.318,0.422,0.322,98,20.7
2012DET,162,0.54,163,698,0.154,0.307,0.268,0.335,0.422,0.328,105,20.5
2012BOS,162,0.43,165,695,0.155,0.301,0.26,0.315,0.415,0.316,95,20.1
2012OAK,162,0.58,195,676,0.166,0.281,0.238,0.31,0.404,0.311,97,19.4
2012NYM,162,0.46,139,625,0.137,0.298,0.249,0.316,0.386,0.306,94,15.9
2012BAL,162,0.57,214,677,0.17,0.286,0.247,0.311,0.417,0.317,96,14.6
2012TOR,162,0.45,198,677,0.161,0.281,0.245,0.309,0.407,0.311,92,14.3
2012LAD,162,0.53,116,607,0.122,0.298,0.252,0.317,0.374,0.302,90,13.8
2012KCR,162,0.44,131,643,0.135,0.302,0.265,0.317,0.4,0.311,94,12.7
2012MIN,162,0.41,131,666,0.13,0.298,0.26,0.325,0.39,0.313,95,12.6
2012CHC,162,0.38,137,570,0.138,0.286,0.24,0.302,0.378,0.297,81,11.3
2012MIA,162,0.43,137,576,0.138,0.289,0.244,0.308,0.382,0.3,87,10.6
2012COL,162,0.4,166,716,0.163,0.321,0.274,0.33,0.436,0.331,90,10.3
2012PIT,162,0.49,170,620,0.152,0.291,0.243,0.304,0.395,0.304,91,10.2
2012SEA,162,0.58,149,584,0.135,0.276,0.234,0.296,0.369,0.291,87,8.9
2012CLE,162,0.42,136,635,0.131,0.288,0.251,0.324,0.381,0.31,97,8.2
2012HOU,162,0.34,146,545,0.135,0.288,0.236,0.302,0.371,0.296,82,5.8
2011NYY,162,0.6,222,836,0.181,0.292,0.263,0.343,0.444,0.345,113,37
2011BOS,162,0.56,203,842,0.181,0.314,0.28,0.349,0.461,0.352,117,36.3
2011TEX,162,0.59,210,807,0.177,0.304,0.283,0.34,0.46,0.347,112,33.9
2011MIL,162,0.59,185,693,0.164,0.293,0.261,0.325,0.425,0.327,103,30.5
2011ARI,162,0.58,172,702,0.163,0.294,0.25,0.322,0.413,0.322,97,30.5
2011STL,162,0.56,162,726,0.151,0.305,0.273,0.341,0.425,0.334,112,29.6
2011CIN,162,0.49,183,697,0.152,0.297,0.256,0.326,0.408,0.322,99,29.4
2011TBR,162,0.56,172,674,0.159,0.281,0.244,0.322,0.402,0.319,103,27.7
2011LAA,162,0.53,155,629,0.149,0.288,0.253,0.313,0.402,0.313,98,23.8
2011DET,162,0.59,169,750,0.157,0.318,0.277,0.34,0.434,0.337,109,23.1
2011KCR,162,0.44,129,705,0.14,0.311,0.275,0.329,0.415,0.325,101,19.8
2011LAD,162,0.51,117,613,0.118,0.299,0.257,0.322,0.375,0.307,95,19.6
2011PHI,162,0.63,153,693,0.142,0.283,0.253,0.323,0.395,0.315,96,19
2011ATL,162,0.55,173,606,0.144,0.284,0.243,0.308,0.387,0.306,91,18.5
2011SFG,162,0.41,121,534,0.126,0.281,0.242,0.303,0.368,0.295,88,18.1
2011NYM,162,0.48,108,676,0.127,0.307,0.264,0.335,0.391,0.319,102,17.2
2011WSN,162,0.49,154,594,0.14,0.292,0.242,0.309,0.383,0.305,89,16.6
2011TOR,162,0.5,186,704,0.164,0.283,0.249,0.317,0.413,0.319,97,15.6
2011SDP,162,0.44,91,563,0.112,0.294,0.237,0.305,0.349,0.29,86,15
2011CHC,162,0.44,148,610,0.144,0.301,0.256,0.314,0.401,0.314,91,14.3
2011HOU,162,0.35,95,579,0.116,0.308,0.258,0.311,0.374,0.301,88,13.3
2011BAL,162,0.43,191,684,0.156,0.288,0.257,0.316,0.413,0.32,96,12.3
2011COL,162,0.45,163,697,0.152,0.3,0.258,0.329,0.41,0.324,88,11.7
2011CHW,162,0.49,154,625,0.136,0.28,0.252,0.319,0.388,0.312,90,11.7
2011CLE,162,0.49,154,671,0.146,0.297,0.25,0.317,0.396,0.314,99,9.3
2011OAK,162,0.46,114,612,0.125,0.283,0.244,0.311,0.369,0.301,89,7.5
2011PIT,162,0.44,107,580,0.123,0.301,0.244,0.309,0.368,0.299,88,6.7
2011MIN,162,0.39,103,572,0.113,0.288,0.247,0.306,0.36,0.296,82,4.3
2011SEA,162,0.53,109,534,0.115,0.283,0.233,0.292,0.348,0.283,80,3.9
2010CIN,162,0.56,188,761,0.164,0.314,0.272,0.338,0.436,0.34,106,35.7
2010NYY,162,0.59,201,823,0.169,0.3,0.267,0.35,0.436,0.346,112,31.2
2010TBR,162,0.59,160,769,0.156,0.293,0.247,0.333,0.403,0.326,106,30.7
2010MIL,162,0.48,182,710,0.161,0.304,0.262,0.335,0.424,0.334,104,30
2010MIN,162,0.58,142,749,0.148,0.306,0.273,0.341,0.422,0.335,106,27.8
2010SFG,162,0.38,162,660,0.151,0.293,0.257,0.321,0.408,0.32,98,25.8
2010STL,162,0.53,150,689,0.139,0.296,0.263,0.332,0.402,0.322,99,25
2010BOS,162,0.55,211,782,0.183,0.299,0.268,0.339,0.451,0.345,109,24.9
2010TOR,162,0.52,257,732,0.206,0.269,0.248,0.312,0.454,0.334,105,23.7
2010ATL,162,0.56,139,699,0.143,0.301,0.258,0.339,0.401,0.327,100,23.6
2010SDP,162,0.56,132,630,0.125,0.29,0.246,0.317,0.371,0.304,92,23.6
2010DET,162,0.5,152,717,0.147,0.311,0.268,0.335,0.415,0.33,102,23.6
2010PHI,162,0.6,166,736,0.153,0.292,0.26,0.332,0.413,0.327,99,23.1
2010TEX,162,0.56,162,740,0.143,0.307,0.276,0.338,0.419,0.333,98,21.8
2010ARI,162,0.4,180,691,0.166,0.312,0.25,0.325,0.416,0.325,93,21.8
2010OAK,162,0.5,109,619,0.122,0.297,0.256,0.324,0.378,0.313,95,20.3
2010WSN,162,0.43,149,634,0.14,0.294,0.25,0.318,0.39,0.313,90,16.6
2010CHW,162,0.54,177,710,0.152,0.292,0.268,0.332,0.42,0.332,100,15.7
2010NYM,162,0.49,128,625,0.134,0.287,0.249,0.314,0.383,0.307,89,15.1
2010LAA,162,0.49,155,656,0.142,0.281,0.248,0.311,0.39,0.31,94,14.1
2010CHC,162,0.46,149,658,0.145,0.304,0.257,0.32,0.401,0.318,90,13.8
2010COL,162,0.51,173,741,0.162,0.31,0.263,0.336,0.425,0.333,91,13.5
2010LAD,162,0.49,120,621,0.127,0.299,0.252,0.322,0.379,0.309,92,13.3
2010CLE,162,0.43,128,601,0.13,0.293,0.248,0.322,0.378,0.311,94,11
2010KCR,162,0.41,121,640,0.126,0.305,0.274,0.331,0.399,0.323,98,9.9
2010BAL,162,0.41,133,577,0.127,0.296,0.259,0.316,0.386,0.31,87,9.6
2010HOU,162,0.47,108,577,0.115,0.285,0.247,0.303,0.362,0.295,79,5.4
2010SEA,162,0.57,101,485,0.104,0.282,0.236,0.298,0.339,0.285,79,2.2
2010PIT,162,0.35,126,570,0.131,0.288,0.242,0.304,0.373,0.3,84,1.4
2009TBR,163,0.52,199,765,0.177,0.303,0.263,0.343,0.439,0.342,109,35.1
2009NYY,163,0.63,244,881,0.194,0.306,0.283,0.362,0.478,0.365,117,33.8
2009PHI,163,0.57,224,788,0.189,0.286,0.258,0.334,0.447,0.339,103,32
2009LAA,163,0.6,173,841,0.156,0.322,0.285,0.35,0.441,0.346,108,29.1
2009LAD,163,0.58,145,739,0.141,0.309,0.27,0.346,0.412,0.332,102,27.4
2009MIL,163,0.49,182,757,0.164,0.305,0.263,0.341,0.426,0.336,103,24.6
2009BOS,163,0.58,212,822,0.184,0.301,0.27,0.352,0.454,0.351,106,24.4
2009STL,163,0.56,160,694,0.152,0.296,0.263,0.332,0.415,0.325,98,24.2
2009MIN,163,0.53,172,770,0.155,0.306,0.274,0.345,0.429,0.338,104,22.4
2009ATL,163,0.53,149,700,0.142,0.3,0.263,0.339,0.405,0.327,97,22.2
2009CIN,163,0.48,158,637,0.147,0.282,0.247,0.318,0.394,0.313,84,19.5
2009TOR,163,0.46,209,766,0.174,0.29,0.266,0.333,0.44,0.337,101,19.5
2009TEX,163,0.53,224,748,0.185,0.296,0.26,0.32,0.445,0.331,92,19
2009COL,163,0.56,190,760,0.18,0.305,0.261,0.343,0.441,0.341,96,18.9
2009ARI,163,0.43,173,686,0.165,0.299,0.253,0.324,0.418,0.324,89,17.5
2009SEA,163,0.54,160,613,0.144,0.293,0.258,0.314,0.402,0.313,89,16.8
2009SFG,163,0.52,122,612,0.132,0.302,0.257,0.309,0.389,0.305,83,16.6
2009SDP,163,0.46,141,605,0.138,0.284,0.242,0.321,0.381,0.309,93,15.5
2009WSN,163,0.36,156,685,0.148,0.302,0.258,0.337,0.406,0.327,96,15.1
2009DET,163,0.53,183,718,0.156,0.294,0.26,0.331,0.416,0.328,94,15
2009OAK,163,0.46,135,723,0.135,0.298,0.262,0.328,0.397,0.32,94,14.6
2009CLE,163,0.4,161,730,0.153,0.308,0.264,0.339,0.417,0.333,100,14.5
2009CHC,163,0.51,161,678,0.152,0.296,0.255,0.332,0.407,0.324,90,14.5
2009NYM,163,0.43,95,631,0.124,0.307,0.27,0.335,0.394,0.32,94,12.8
2009HOU,163,0.45,142,616,0.14,0.293,0.26,0.319,0.4,0.315,89,12.7
2009BAL,163,0.39,160,708,0.147,0.3,0.268,0.332,0.415,0.328,93,11.6
2009PIT,163,0.38,125,612,0.135,0.296,0.252,0.318,0.387,0.31,86,10.5
2009CHW,163,0.48,184,695,0.153,0.285,0.258,0.329,0.411,0.326,91,8.6
2009KCR,163,0.4,144,657,0.146,0.298,0.259,0.318,0.405,0.318,88,2.2
2008STL,163,0.53,174,744,0.152,0.312,0.281,0.35,0.433,0.342,107,34
2008BOS,163,0.58,173,807,0.168,0.315,0.28,0.358,0.447,0.351,110,32.9
2008PHI,163,0.56,214,762,0.182,0.283,0.255,0.332,0.438,0.334,98,32.8
2008CHC,163,0.6,184,811,0.165,0.321,0.278,0.354,0.443,0.349,104,30.1
2008TBR,163,0.6,180,735,0.162,0.302,0.26,0.34,0.422,0.335,105,29.2
2008NYM,163,0.55,172,751,0.154,0.296,0.266,0.34,0.42,0.332,100,28.9
2008MIL,163,0.55,198,722,0.179,0.287,0.253,0.325,0.431,0.329,97,24.6
2008ATL,163,0.44,130,721,0.138,0.309,0.27,0.345,0.408,0.332,99,24.5
2008CLE,163,0.5,171,772,0.162,0.305,0.262,0.339,0.424,0.334,103,24
2008TEX,163,0.48,194,867,0.179,0.325,0.283,0.354,0.462,0.355,112,23.5
2008HOU,163,0.53,167,684,0.152,0.296,0.263,0.323,0.415,0.322,93,23.3
2008NYY,163,0.55,180,758,0.156,0.302,0.271,0.342,0.427,0.338,104,21.3
2008MIN,163,0.54,111,791,0.129,0.316,0.279,0.34,0.408,0.328,99,19.3
2008BAL,163,0.42,172,750,0.162,0.296,0.267,0.333,0.429,0.333,99,19
2008LAA,163,0.61,159,721,0.145,0.299,0.268,0.33,0.413,0.324,96,17.6
2008TOR,163,0.53,126,681,0.135,0.295,0.264,0.331,0.399,0.322,94,17.3
2008DET,163,0.45,200,780,0.173,0.301,0.271,0.34,0.444,0.343,106,16.8
2008LAD,163,0.52,137,659,0.134,0.301,0.264,0.333,0.399,0.321,93,16.7
2008CHW,163,0.55,235,785,0.185,0.281,0.263,0.332,0.448,0.339,101,15.5
2008OAK,163,0.46,125,610,0.127,0.289,0.242,0.318,0.369,0.306,86,14.7
2008SDP,163,0.39,154,615,0.14,0.294,0.25,0.317,0.39,0.311,92,13.8
2008CIN,163,0.45,187,677,0.161,0.278,0.247,0.321,0.408,0.319,87,13.8
2008SFG,163,0.37,94,606,0.12,0.305,0.262,0.321,0.382,0.309,83,10.3
2008ARI,163,0.5,159,683,0.164,0.299,0.251,0.327,0.415,0.324,88,9.5
2008WSN,163,0.36,117,608,0.122,0.292,0.251,0.323,0.373,0.31,84,8.5
2008COL,163,0.45,160,714,0.152,0.308,0.263,0.336,0.415,0.33,88,8.1
2008SEA,163,0.44,124,631,0.124,0.294,0.265,0.318,0.389,0.31,90,7.6
2008KCR,163,0.46,120,650,0.128,0.307,0.269,0.32,0.397,0.315,87,7.4
2008PIT,163,0.41,153,705,0.145,0.29,0.258,0.32,0.403,0.317,89,6.3
