Year,Team,TeamsByYear,GamesWon,GamesPlayed,Win_Per
2022,ARI,2022ARI,74,162,0.46
2022,ATL,2022ATL,101,162,0.62
2022,BAL,2022BAL,83,162,0.51
2022,BOS,2022BOS,78,162,0.48
2022,CHC,2022CHC,74,162,0.46
2022,CHW,2022CHW,81,162,0.50
2022,CIN,2022CIN,62,162,0.38
2022,CLE,2022CLE,92,162,0.57
2022,COL,2022COL,68,162,0.42
2022,DET,2022DET,66,162,0.41
2022,HOU,2022HOU,106,162,0.65
2022,KCR,2022KCR,65,162,0.40
2022,LAA,2022LAA,73,162,0.45
2022,LAD,2022LAD,111,162,0.69
2022,MIA,2022MIA,69,162,0.43
2022,MIL,2022MIL,86,162,0.53
2022,MIN,2022MIN,78,162,0.48
2022,NYM,2022NYM,101,162,0.62
2022,NYY,2022NYY,99,162,0.61
2022,OAK,2022OAK,60,162,0.37
2022,PHI,2022PHI,87,162,0.54
2022,PIT,2022PIT,62,162,0.38
2022,SDP,2022SDP,89,162,0.55
2022,SEA,2022SEA,81,162,0.50
2022,SFG,2022SFG,90,162,0.56
2022,STL,2022STL,93,162,0.57
2022,TBR,2022TBR,86,162,0.53
2022,TEX,2022TEX,68,162,0.42
2022,TOR,2022TOR,92,162,0.57
2022,WSN,2022WSN,55,162,0.34
2021,ARI,2021ARI,52,162,0.32
2021,ATL,2021ATL,88,162,0.54
2021,BAL,2021BAL,52,162,0.32
2021,BOS,2021BOS,92,162,0.57
2021,CHC,2021CHC,71,162,0.44
2021,CHW,2021CHW,93,162,0.57
2021,CIN,2021CIN,83,162,0.51
2021,CLE,2021CLE,80,162,0.49
2021,COL,2021COL,74,162,0.46
2021,DET,2021DET,77,162,0.48
2021,HOU,2021HOU,95,162,0.59
2021,KCR,2021KCR,74,162,0.46
2021,LAA,2021LAA,77,162,0.48
2021,LAD,2021LAD,106,162,0.65
2021,MIA,2021MIA,67,162,0.41
2021,MIL,2021MIL,95,162,0.59
2021,MIN,2021MIN,73,162,0.45
2021,NYM,2021NYM,77,162,0.48
2021,NYY,2021NYY,92,162,0.57
2021,OAK,2021OAK,86,162,0.53
2021,PHI,2021PHI,82,162,0.51
2021,PIT,2021PIT,61,162,0.38
2021,SDP,2021SDP,79,162,0.49
2021,SEA,2021SEA,107,162,0.66
2021,SFG,2021SFG,90,162,0.56
2021,STL,2021STL,90,162,0.56
2021,TBR,2021TBR,100,162,0.62
2021,TEX,2021TEX,60,162,0.37
2021,TOR,2021TOR,91,162,0.56
2021,WSN,2021WSN,65,162,0.40
2020,ARI,2020ARI,25,60,0.42
2020,ATL,2020ATL,35,60,0.58
2020,BAL,2020BAL,25,60,0.42
2020,BOS,2020BOS,24,60,0.40
2020,CHC,2020CHC,34,60,0.57
2020,CHW,2020CHW,35,60,0.58
2020,CIN,2020CIN,31,60,0.52
2020,CLE,2020CLE,35,60,0.58
2020,COL,2020COL,26,60,0.43
2020,DET,2020DET,23,60,0.38
2020,HOU,2020HOU,29,60,0.48
2020,KCR,2020KCR,26,60,0.43
2020,LAA,2020LAA,26,60,0.43
2020,LAD,2020LAD,43,60,0.72
2020,MIA,2020MIA,31,60,0.52
2020,MIL,2020MIL,29,60,0.48
2020,MIN,2020MIN,36,60,0.60
2020,NYM,2020NYM,26,60,0.43
2020,NYY,2020NYY,33,60,0.55
2020,OAK,2020OAK,36,60,0.60
2020,PHI,2020PHI,28,60,0.47
2020,PIT,2020PIT,19,60,0.32
2020,SDP,2020SDP,37,60,0.62
2020,SEA,2020SEA,29,60,0.48
2020,SFG,2020SFG,27,60,0.45
2020,STL,2020STL,30,60,0.50
2020,TBR,2020TBR,40,60,0.67
2020,TEX,2020TEX,22,60,0.37
2020,TOR,2020TOR,32,60,0.53
2020,WSN,2020WSN,26,60,0.43
2019,ARI,2019ARI,85,162,0.52
2019,ATL,2019ATL,97,162,0.60
2019,BAL,2019BAL,54,162,0.33
2019,BOS,2019BOS,84,162,0.52
2019,CHC,2019CHC,84,162,0.52
2019,CHW,2019CHW,72,162,0.44
2019,CIN,2019CIN,75,162,0.46
2019,CLE,2019CLE,93,162,0.57
2019,COL,2019COL,71,162,0.44
2019,DET,2019DET,47,162,0.29
2019,HOU,2019HOU,107,162,0.66
2019,KCR,2019KCR,59,162,0.36
2019,LAA,2019LAA,72,162,0.44
2019,LAD,2019LAD,106,162,0.65
2019,MIA,2019MIA,57,162,0.35
2019,MIL,2019MIL,89,162,0.55
2019,MIN,2019MIN,101,162,0.62
2019,NYM,2019NYM,86,162,0.53
2019,NYY,2019NYY,103,162,0.64
2019,OAK,2019OAK,97,162,0.60
2019,PHI,2019PHI,81,162,0.50
2019,PIT,2019PIT,69,162,0.43
2019,SDP,2019SDP,70,162,0.43
2019,SEA,2019SEA,77,162,0.48
2019,SFG,2019SFG,68,162,0.42
2019,STL,2019STL,91,162,0.56
2019,TBR,2019TBR,96,162,0.59
2019,TEX,2019TEX,78,162,0.48
2019,TOR,2019TOR,67,162,0.41
2019,WSN,2019WSN,93,162,0.57
2018,ARI,2018ARI,82,163,0.50
2018,ATL,2018ATL,90,163,0.55
2018,BAL,2018BAL,47,163,0.29
2018,BOS,2018BOS,108,163,0.66
2018,CHC,2018CHC,95,163,0.58
2018,CHW,2018CHW,62,163,0.38
2018,CIN,2018CIN,67,163,0.41
2018,CLE,2018CLE,91,163,0.56
2018,COL,2018COL,91,163,0.56
2018,DET,2018DET,64,163,0.39
2018,HOU,2018HOU,103,163,0.63
2018,KCR,2018KCR,58,163,0.36
2018,LAA,2018LAA,80,163,0.49
2018,LAD,2018LAD,92,163,0.56
2018,MIA,2018MIA,63,163,0.39
2018,MIL,2018MIL,96,163,0.59
2018,MIN,2018MIN,78,163,0.48
2018,NYM,2018NYM,77,163,0.47
2018,NYY,2018NYY,100,163,0.61
2018,OAK,2018OAK,97,163,0.60
2018,PHI,2018PHI,80,163,0.49
2018,PIT,2018PIT,82,163,0.50
2018,SDP,2018SDP,66,163,0.40
2018,SEA,2018SEA,73,163,0.45
2018,SFG,2018SFG,89,163,0.55
2018,STL,2018STL,88,163,0.54
2018,TBR,2018TBR,90,163,0.55
2018,TEX,2018TEX,67,163,0.41
2018,TOR,2018TOR,73,163,0.45
2018,WSN,2018WSN,82,163,0.50
2017,ARI,2017ARI,93,162,0.57
2017,ATL,2017ATL,72,162,0.44
2017,BAL,2017BAL,75,162,0.46
2017,BOS,2017BOS,93,162,0.57
2017,CHC,2017CHC,92,162,0.57
2017,CHW,2017CHW,67,162,0.41
2017,CIN,2017CIN,68,162,0.42
2017,CLE,2017CLE,102,162,0.63
2017,COL,2017COL,87,162,0.54
2017,DET,2017DET,64,162,0.40
2017,HOU,2017HOU,101,162,0.62
2017,KCR,2017KCR,80,162,0.49
2017,LAA,2017LAA,80,162,0.49
2017,LAD,2017LAD,104,162,0.64
2017,MIA,2017MIA,77,162,0.48
2017,MIL,2017MIL,86,162,0.53
2017,MIN,2017MIN,85,162,0.52
2017,NYM,2017NYM,70,162,0.43
2017,NYY,2017NYY,91,162,0.56
2017,OAK,2017OAK,75,162,0.46
2017,PHI,2017PHI,66,162,0.41
2017,PIT,2017PIT,75,162,0.46
2017,SDP,2017SDP,71,162,0.44
2017,SEA,2017SEA,64,162,0.40
2017,SFG,2017SFG,78,162,0.48
2017,STL,2017STL,83,162,0.51
2017,TBR,2017TBR,80,162,0.49
2017,TEX,2017TEX,78,162,0.48
2017,TOR,2017TOR,76,162,0.47
2017,WSN,2017WSN,97,162,0.60
2016,ARI,2016ARI,69,162,0.43
2016,ATL,2016ATL,68,162,0.42
2016,BAL,2016BAL,89,162,0.55
2016,BOS,2016BOS,93,162,0.57
2016,CHC,2016CHC,103,162,0.64
2016,CHW,2016CHW,78,162,0.48
2016,CIN,2016CIN,68,162,0.42
2016,CLE,2016CLE,94,162,0.58
2016,COL,2016COL,75,162,0.46
2016,DET,2016DET,86,162,0.53
2016,HOU,2016HOU,84,162,0.52
2016,KCR,2016KCR,81,162,0.50
2016,LAA,2016LAA,74,162,0.46
2016,LAD,2016LAD,91,162,0.56
2016,MIA,2016MIA,79,162,0.49
2016,MIL,2016MIL,73,162,0.45
2016,MIN,2016MIN,59,162,0.36
2016,NYM,2016NYM,87,162,0.54
2016,NYY,2016NYY,84,162,0.52
2016,OAK,2016OAK,69,162,0.43
2016,PHI,2016PHI,71,162,0.44
2016,PIT,2016PIT,78,162,0.48
2016,SDP,2016SDP,68,162,0.42
2016,SEA,2016SEA,87,162,0.54
2016,SFG,2016SFG,86,162,0.53
2016,STL,2016STL,86,162,0.53
2016,TBR,2016TBR,68,162,0.42
2016,TEX,2016TEX,95,162,0.59
2016,TOR,2016TOR,89,162,0.55
2016,WSN,2016WSN,95,162,0.59
2015,ARI,2015ARI,79,162,0.49
2015,ATL,2015ATL,67,162,0.41
2015,BAL,2015BAL,81,162,0.50
2015,BOS,2015BOS,78,162,0.48
2015,CHC,2015CHC,97,162,0.60
2015,CHW,2015CHW,76,162,0.47
2015,CIN,2015CIN,64,162,0.40
2015,CLE,2015CLE,81,162,0.50
2015,COL,2015COL,68,162,0.42
2015,DET,2015DET,74,162,0.46
2015,HOU,2015HOU,86,162,0.53
2015,KCR,2015KCR,95,162,0.59
2015,LAA,2015LAA,85,162,0.52
2015,LAD,2015LAD,92,162,0.57
2015,MIA,2015MIA,71,162,0.44
2015,MIL,2015MIL,68,162,0.42
2015,MIN,2015MIN,83,162,0.51
2015,NYM,2015NYM,90,162,0.56
2015,NYY,2015NYY,87,162,0.54
2015,OAK,2015OAK,68,162,0.42
2015,PHI,2015PHI,63,162,0.39
2015,PIT,2015PIT,98,162,0.60
2015,SDP,2015SDP,74,162,0.46
2015,SEA,2015SEA,84,162,0.52
2015,SFG,2015SFG,76,162,0.47
2015,STL,2015STL,100,162,0.62
2015,TBR,2015TBR,80,162,0.49
2015,TEX,2015TEX,88,162,0.54
2015,TOR,2015TOR,93,162,0.57
2015,WSN,2015WSN,83,162,0.51
2014,ARI,2014ARI,64,162,0.40
2014,ATL,2014ATL,79,162,0.49
2014,BAL,2014BAL,96,162,0.59
2014,BOS,2014BOS,71,162,0.44
2014,CHC,2014CHC,73,162,0.45
2014,CHW,2014CHW,73,162,0.45
2014,CIN,2014CIN,76,162,0.47
2014,CLE,2014CLE,85,162,0.52
2014,COL,2014COL,66,162,0.41
2014,DET,2014DET,90,162,0.56
2014,HOU,2014HOU,70,162,0.43
2014,KCR,2014KCR,89,162,0.55
2014,LAA,2014LAA,98,162,0.60
2014,LAD,2014LAD,94,162,0.58
2014,MIA,2014MIA,77,162,0.48
2014,MIL,2014MIL,82,162,0.51
2014,MIN,2014MIN,70,162,0.43
2014,NYM,2014NYM,79,162,0.49
2014,NYY,2014NYY,84,162,0.52
2014,OAK,2014OAK,88,162,0.54
2014,PHI,2014PHI,73,162,0.45
2014,PIT,2014PIT,88,162,0.54
2014,SDP,2014SDP,77,162,0.48
2014,SEA,2014SEA,88,162,0.54
2014,SFG,2014SFG,87,162,0.54
2014,STL,2014STL,90,162,0.56
2014,TBR,2014TBR,77,162,0.48
2014,TEX,2014TEX,67,162,0.41
2014,TOR,2014TOR,83,162,0.51
2014,WSN,2014WSN,96,162,0.59
2013,ARI,2013ARI,81,163,0.50
2013,ATL,2013ATL,96,163,0.59
2013,BAL,2013BAL,85,163,0.52
2013,BOS,2013BOS,97,163,0.60
2013,CHC,2013CHC,66,163,0.40
2013,CHW,2013CHW,63,163,0.39
2013,CIN,2013CIN,90,163,0.55
2013,CLE,2013CLE,92,163,0.56
2013,COL,2013COL,74,163,0.45
2013,DET,2013DET,93,163,0.57
2013,HOU,2013HOU,51,163,0.31
2013,KCR,2013KCR,86,163,0.53
2013,LAA,2013LAA,78,163,0.48
2013,LAD,2013LAD,92,163,0.56
2013,MIA,2013MIA,62,163,0.38
2013,MIL,2013MIL,74,163,0.45
2013,MIN,2013MIN,66,163,0.40
2013,NYM,2013NYM,74,163,0.45
2013,NYY,2013NYY,85,163,0.52
2013,OAK,2013OAK,96,163,0.59
2013,PHI,2013PHI,73,163,0.45
2013,PIT,2013PIT,94,163,0.58
2013,SDP,2013SDP,76,163,0.47
2013,SEA,2013SEA,76,163,0.47
2013,SFG,2013SFG,71,163,0.44
2013,STL,2013STL,97,163,0.60
2013,TBR,2013TBR,92,163,0.56
2013,TEX,2013TEX,91,163,0.56
2013,TOR,2013TOR,74,163,0.45
2013,WSN,2013WSN,86,163,0.53
2012,ARI,2012ARI,81,162,0.50
2012,ATL,2012ATL,94,162,0.58
2012,BAL,2012BAL,93,162,0.57
2012,BOS,2012BOS,69,162,0.43
2012,CHC,2012CHC,61,162,0.38
2012,CHW,2012CHW,85,162,0.52
2012,CIN,2012CIN,97,162,0.60
2012,CLE,2012CLE,68,162,0.42
2012,COL,2012COL,64,162,0.40
2012,DET,2012DET,88,162,0.54
2012,HOU,2012HOU,55,162,0.34
2012,KCR,2012KCR,72,162,0.44
2012,LAA,2012LAA,89,162,0.55
2012,LAD,2012LAD,86,162,0.53
2012,MIA,2012MIA,69,162,0.43
2012,MIL,2012MIL,83,162,0.51
2012,MIN,2012MIN,66,162,0.41
2012,NYM,2012NYM,74,162,0.46
2012,NYY,2012NYY,95,162,0.59
2012,OAK,2012OAK,94,162,0.58
2012,PHI,2012PHI,81,162,0.50
2012,PIT,2012PIT,79,162,0.49
2012,SDP,2012SDP,76,162,0.47
2012,SEA,2012SEA,94,162,0.58
2012,SFG,2012SFG,75,162,0.46
2012,STL,2012STL,88,162,0.54
2012,TBR,2012TBR,90,162,0.56
2012,TEX,2012TEX,93,162,0.57
2012,TOR,2012TOR,73,162,0.45
2012,WSN,2012WSN,98,162,0.60
2011,ARI,2011ARI,94,162,0.58
2011,ATL,2011ATL,89,162,0.55
2011,BAL,2011BAL,69,162,0.43
2011,BOS,2011BOS,90,162,0.56
2011,CHC,2011CHC,71,162,0.44
2011,CHW,2011CHW,79,162,0.49
2011,CIN,2011CIN,79,162,0.49
2011,CLE,2011CLE,80,162,0.49
2011,COL,2011COL,73,162,0.45
2011,DET,2011DET,95,162,0.59
2011,HOU,2011HOU,56,162,0.35
2011,KCR,2011KCR,71,162,0.44
2011,LAA,2011LAA,86,162,0.53
2011,LAD,2011LAD,82,162,0.51
2011,MIA,2011MIA,72,162,0.44
2011,MIL,2011MIL,96,162,0.59
2011,MIN,2011MIN,63,162,0.39
2011,NYM,2011NYM,77,162,0.48
2011,NYY,2011NYY,97,162,0.60
2011,OAK,2011OAK,74,162,0.46
2011,PHI,2011PHI,102,162,0.63
2011,PIT,2011PIT,72,162,0.44
2011,SDP,2011SDP,71,162,0.44
2011,SEA,2011SEA,86,162,0.53
2011,SFG,2011SFG,67,162,0.41
2011,STL,2011STL,90,162,0.56
2011,TBR,2011TBR,91,162,0.56
2011,TEX,2011TEX,96,162,0.59
2011,TOR,2011TOR,81,162,0.50
2011,WSN,2011WSN,80,162,0.49
2010,ARI,2010ARI,65,162,0.40
2010,ATL,2010ATL,91,162,0.56
2010,BAL,2010BAL,66,162,0.41
2010,BOS,2010BOS,89,162,0.55
2010,CHC,2010CHC,75,162,0.46
2010,CHW,2010CHW,88,162,0.54
2010,CIN,2010CIN,91,162,0.56
2010,CLE,2010CLE,69,162,0.43
2010,COL,2010COL,83,162,0.51
2010,DET,2010DET,81,162,0.50
2010,HOU,2010HOU,76,162,0.47
2010,KCR,2010KCR,67,162,0.41
2010,LAA,2010LAA,80,162,0.49
2010,LAD,2010LAD,80,162,0.49
2010,MIA,2010MIA,80,162,0.49
2010,MIL,2010MIL,77,162,0.48
2010,MIN,2010MIN,94,162,0.58
2010,NYM,2010NYM,79,162,0.49
2010,NYY,2010NYY,95,162,0.59
2010,OAK,2010OAK,81,162,0.50
2010,PHI,2010PHI,97,162,0.60
2010,PIT,2010PIT,57,162,0.35
2010,SDP,2010SDP,90,162,0.56
2010,SEA,2010SEA,92,162,0.57
2010,SFG,2010SFG,61,162,0.38
2010,STL,2010STL,86,162,0.53
2010,TBR,2010TBR,96,162,0.59
2010,TEX,2010TEX,90,162,0.56
2010,TOR,2010TOR,85,162,0.52
2010,WSN,2010WSN,69,162,0.43
2009,ARI,2009ARI,70,163,0.43
2009,ATL,2009ATL,86,163,0.53
2009,BAL,2009BAL,64,163,0.39
2009,BOS,2009BOS,95,163,0.58
2009,CHC,2009CHC,83,163,0.51
2009,CHW,2009CHW,79,163,0.48
2009,CIN,2009CIN,78,163,0.48
2009,CLE,2009CLE,65,163,0.40
2009,COL,2009COL,92,163,0.56
2009,DET,2009DET,86,163,0.53
2009,HOU,2009HOU,74,163,0.45
2009,KCR,2009KCR,65,163,0.40
2009,LAA,2009LAA,97,163,0.60
2009,LAD,2009LAD,95,163,0.58
2009,MIA,2009MIA,87,163,0.53
2009,MIL,2009MIL,80,163,0.49
2009,MIN,2009MIN,87,163,0.53
2009,NYM,2009NYM,70,163,0.43
2009,NYY,2009NYY,103,163,0.63
2009,OAK,2009OAK,75,163,0.46
2009,PHI,2009PHI,93,163,0.57
2009,PIT,2009PIT,62,163,0.38
2009,SDP,2009SDP,75,163,0.46
2009,SEA,2009SEA,88,163,0.54
2009,SFG,2009SFG,85,163,0.52
2009,STL,2009STL,91,163,0.56
2009,TBR,2009TBR,84,163,0.52
2009,TEX,2009TEX,87,163,0.53
2009,TOR,2009TOR,75,163,0.46
2009,WSN,2009WSN,59,163,0.36
2008,ARI,2008ARI,82,163,0.50
2008,ATL,2008ATL,72,163,0.44
2008,BAL,2008BAL,68,163,0.42
2008,BOS,2008BOS,95,163,0.58
2008,CHC,2008CHC,97,163,0.60
2008,CHW,2008CHW,89,163,0.55
2008,CIN,2008CIN,74,163,0.45
2008,CLE,2008CLE,81,163,0.50
2008,COL,2008COL,74,163,0.45
2008,DET,2008DET,74,163,0.45
2008,HOU,2008HOU,86,163,0.53
2008,KCR,2008KCR,75,163,0.46
2008,LAA,2008LAA,100,163,0.61
2008,LAD,2008LAD,84,163,0.52
2008,MIA,2008MIA,84,163,0.52
2008,MIL,2008MIL,90,163,0.55
2008,MIN,2008MIN,88,163,0.54
2008,NYM,2008NYM,89,163,0.55
2008,NYY,2008NYY,89,163,0.55
2008,OAK,2008OAK,75,163,0.46
2008,PHI,2008PHI,92,163,0.56
2008,PIT,2008PIT,67,163,0.41
2008,SDP,2008SDP,63,163,0.39
2008,SEA,2008SEA,72,163,0.44
2008,SFG,2008SFG,61,163,0.37
2008,STL,2008STL,86,163,0.53
2008,TBR,2008TBR,97,163,0.60
2008,TEX,2008TEX,79,163,0.48
2008,TOR,2008TOR,86,163,0.53
2008,WSN,2008WSN,59,163,0.36